frame_number,near_player_id,near_player_original_box,near_player_reference_point,near_player_action,near_player_net_clearance,far_player_id,far_player_original_box,far_player_reference_point,far_player_action,far_player_net_clearance,ball_id,ball_original_box,ball_reference_point,ball_height,ball_horizontal_velocity,ball_vertical_velocity,ball_action
0,1,"[369, 659, 530, 904]","(105, 748)",0,0.0,2,"[997, 149, 1059, 298]","(229, 106)",0,0.0,1,"[1009, 90, 1025, 107]","(242, -647)",0.0,0.0,0.0,4
1,1,"[369, 658, 530, 904]","(105, 748)",0,0.0,2,"[997, 148, 1054, 298]","(228, 106)",0,0.0,1,"[1009, 88, 1024, 105]","(242, -660)",0.0,0.0,0.0,4
2,1,"[369, 658, 530, 904]","(105, 748)",0,0.0,2,"[996, 148, 1047, 298]","(227, 106)",0,0.0,1,"[1010, 87, 1025, 104]","(242, -666)",0.0,0.0,0.0,4
3,1,"[369, 656, 531, 903]","(106, 748)",0,0.0,2,"[995, 148, 1041, 298]","(225, 106)",0,0.0,1,"[1010, 87, 1025, 104]","(242, -666)",0.0,0.0,0.0,4
4,1,"[369, 654, 531, 901]","(105, 747)",0,0.0,2,"[993, 148, 1037, 298]","(224, 106)",0,0.0,1,"[1010, 86, 1025, 103]","(243, -672)",0.0,0.0,0.0,4
5,1,"[369, 652, 531, 898]","(105, 746)",0,0.0,2,"[992, 148, 1037, 298]","(224, 106)",0,0.0,1,"[1010, 85, 1025, 102]","(243, -679)",0.0,0.0,0.0,4
6,1,"[369, 652, 531, 895]","(105, 744)",0,0.0,2,"[991, 149, 1035, 298]","(223, 106)",0,0.0,1,"[1011, 84, 1026, 101]","(243, -685)",0.0,0.0,0.0,4
7,1,"[369, 652, 533, 893]","(105, 743)",0,0.0,2,"[990, 150, 1034, 298]","(223, 106)",0,0.0,1,"[1011, 84, 1026, 101]","(243, -685)",0.0,0.0,0.0,4
8,1,"[369, 653, 540, 893]","(105, 743)",0,0.0,2,"[991, 151, 1033, 298]","(223, 106)",0,0.0,1,"[1011, 83, 1026, 100]","(244, -691)",0.0,0.0,0.0,4
9,1,"[369, 653, 544, 893]","(106, 743)",0,0.0,2,"[990, 157, 1032, 298]","(223, 106)",0,0.0,1,"[1011, 83, 1026, 100]","(244, -691)",0.0,0.0,0.0,4
