multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,frame,centre_point,x,y,x_diff,y_diff,velocity,velocity_vector,velocity_vector_delta
"{1: [1009, 90, 1025, 107]}","{1: [1009, 90, 1025, 107]}","{1: [1009, 90, 1025, 107]}","{1: [1009.0, 90.0, 1025.0, 107.0]}",0,"(1017, 98)",1017,98,0,0,0.0,0.0,
{},{},{},"{1: [1009.0, 88.0, 1024.0, 105.0]}",1,"(1016, 96)",1016,96,-1,-2,2.24,-2.24,-2.24
{},{},{},"{1: [1010.0, 87.0, 1025.0, 104.0]}",2,"(1017, 95)",1017,95,1,-1,1.41,-1.41,0.83
{},{},{},"{1: [1010.0, 87.0, 1025.0, 104.0]}",3,"(1017, 95)",1017,95,0,0,0.0,0.0,1.41
{},{},{},"{1: [1010.0, 86.0, 1025.0, 103.0]}",4,"(1017, 94)",1017,94,0,-1,1.0,-1.0,-1.0
{},{},{},"{1: [1010.0, 85.0, 1025.0, 102.0]}",5,"(1017, 93)",1017,93,0,-1,1.0,-1.0,0.0
{},{},{},"{1: [1011.0, 84.0, 1026.0, 101.0]}",6,"(1018, 92)",1018,92,1,-1,1.41,-1.41,-0.41
{},{},{},"{1: [1011.0, 84.0, 1026.0, 101.0]}",7,"(1018, 92)",1018,92,0,0,0.0,0.0,1.41
{},{},{},"{1: [1011.0, 83.0, 1026.0, 100.0]}",8,"(1018, 91)",1018,91,0,-1,1.0,-1.0,-1.0
{},{},{},"{1: [1011.0, 83.0, 1026.0, 100.0]}",9,"(1018, 91)",1018,91,0,0,0.0,0.0,1.0
{},{},{},"{1: [1012.0, 82.0, 1027.0, 99.0]}",10,"(1019, 90)",1019,90,1,-1,1.41,-1.41,-1.41
{},{},{},"{1: [1012.0, 81.0, 1027.0, 98.0]}",11,"(1019, 89)",1019,89,0,-1,1.0,-1.0,0.41
"{1: [1013, 82, 1027, 99]}","{1: [1013, 82, 1027, 99]}","{1: [1013, 82, 1027, 99]}","{1: [1013.0, 82.0, 1027.0, 99.0]}",12,"(1020, 90)",1020,90,1,1,1.41,1.41,2.41
{},{},{},"{1: [988.0, 100.0, 1007.0, 122.0]}",13,"(997, 111)",997,111,-23,21,31.14,31.14,29.73
{},{},{},"{1: [967.0, 121.0, 986.0, 142.0]}",14,"(976, 131)",976,131,-21,20,29.0,29.0,-2.14
{},{},{},"{1: [946.0, 141.0, 965.0, 162.0]}",15,"(955, 151)",955,151,-21,20,29.0,29.0,0.0
{},{},{},"{1: [927.0, 160.0, 946.0, 181.0]}",16,"(936, 170)",936,170,-19,19,26.87,26.87,-2.13
{},{},{},"{1: [909.0, 178.0, 928.0, 199.0]}",17,"(918, 188)",918,188,-18,18,25.46,25.46,-1.41
{},{},{},"{1: [893.0, 193.0, 912.0, 215.0]}",18,"(902, 204)",902,204,-16,16,22.63,22.63,-2.83
"{1: [878, 204, 902, 230], 2: [1013, 231, 1027, 246]}","{1: [878, 204, 902, 230]}","{1: [878, 204, 902, 230]}","{1: [878.0, 204.0, 902.0, 230.0]}",19,"(890, 217)",890,217,-12,13,17.69,17.69,-4.94
"{1: [846, 236, 873, 264]}","{1: [846, 236, 873, 264]}","{1: [846, 236, 873, 264]}","{1: [846.0, 236.0, 873.0, 264.0]}",20,"(859, 250)",859,250,-31,33,45.28,45.28,27.59
{},{},{},"{1: [816.0, 276.0, 841.0, 303.0]}",21,"(828, 289)",828,289,-31,39,49.82,49.82,4.54
"{1: [794, 309, 818, 334]}","{1: [794, 309, 818, 334]}","{1: [794, 309, 818, 334]}","{1: [794.0, 309.0, 818.0, 334.0]}",22,"(806, 321)",806,321,-22,32,38.83,38.83,-10.99
"{1: [773, 349, 788, 367]}","{1: [773, 349, 788, 367]}","{1: [773, 349, 788, 367]}","{1: [773.0, 349.0, 788.0, 367.0]}",23,"(780, 358)",780,358,-26,37,45.22,45.22,6.39
{},{},{},"{1: [740.0, 403.0, 758.0, 422.0]}",24,"(749, 412)",749,412,-31,54,62.27,62.27,17.05
{},{},{},"{1: [712.0, 452.0, 730.0, 472.0]}",25,"(721, 462)",721,462,-28,50,57.31,57.31,-4.96
"{1: [690, 491, 711, 512]}","{1: [690, 491, 711, 512]}","{1: [690, 491, 711, 512]}","{1: [690.0, 491.0, 711.0, 512.0]}",26,"(700, 501)",700,501,-21,39,44.29,44.29,-13.02
{},{},{},"{1: [658.0, 543.0, 682.0, 569.0]}",27,"(670, 556)",670,556,-30,55,62.65,62.65,18.36
"{1: [634, 585, 661, 616]}","{1: [634, 585, 661, 616]}","{1: [634, 585, 661, 616]}","{1: [634.0, 585.0, 661.0, 616.0]}",28,"(647, 600)",647,600,-23,44,49.65,49.65,-13.0
"{1: [614, 583, 637, 606], 2: [1016, 226, 1032, 244]}","{1: [614, 583, 637, 606]}","{1: [614, 583, 637, 606]}","{1: [614.0, 583.0, 637.0, 606.0]}",29,"(625, 594)",625,594,-22,-6,22.8,-22.8,-72.45
"{1: [583, 575, 609, 602]}","{1: [583, 575, 609, 602]}","{1: [583, 575, 609, 602]}","{1: [583.0, 575.0, 609.0, 602.0]}",30,"(596, 588)",596,588,-29,-6,29.61,-29.61,-6.81
"{1: [564, 573, 591, 607]}","{1: [564, 573, 591, 607]}","{1: [564, 573, 591, 607]}","{1: [564.0, 573.0, 591.0, 607.0]}",31,"(577, 590)",577,590,-19,2,19.1,19.1,48.71
{},{},{},"{1: [531.0, 573.0, 558.0, 603.0]}",32,"(544, 588)",544,588,-33,-2,33.06,-33.06,-52.16
"{1: [507, 574, 533, 601]}","{1: [507, 574, 533, 601]}","{1: [507, 574, 533, 601]}","{1: [507.0, 574.0, 533.0, 601.0]}",33,"(520, 587)",520,587,-24,-1,24.02,-24.02,9.04
"{1: [489, 581, 507, 602]}","{1: [489, 581, 507, 602]}","{1: [489, 581, 507, 602]}","{1: [489.0, 581.0, 507.0, 602.0]}",34,"(498, 591)",498,591,-22,4,22.36,22.36,46.38
"{1: [462, 590, 477, 606]}","{1: [462, 590, 477, 606]}","{1: [462, 590, 477, 606]}","{1: [462.0, 590.0, 477.0, 606.0]}",35,"(469, 598)",469,598,-29,7,29.83,29.83,7.47
"{1: [434, 596, 452, 617]}","{1: [434, 596, 452, 617]}","{1: [434, 596, 452, 617]}","{1: [434.0, 596.0, 452.0, 617.0]}",36,"(443, 606)",443,606,-26,8,27.2,27.2,-2.63
"{1: [414, 610, 428, 627]}","{1: [414, 610, 428, 627]}","{1: [414, 610, 428, 627]}","{1: [414.0, 610.0, 428.0, 627.0]}",37,"(421, 618)",421,618,-22,12,25.06,25.06,-2.14
{},{},{},"{1: [487.0, 566.0, 505.0, 587.0]}",38,"(496, 576)",496,576,75,-42,85.96,-85.96,-111.02
