frame_number,player_1_original_box,player_1_reference_point,player_1_action,player_1_net_clearance,player_2_original_box,player_2_reference_point,player_2_action,player_2_net_clearance,ball_original_box,ball_reference_point,ball_height,ball_horizontal_velocity,ball_vertial_velocity,ball_action
0,"[369, 659, 530, 904]","(105, 748)",0,0.0,"[997, 149, 1059, 298]","(229, 106)",0,0.0,"[1009, 90, 1025, 107]","(242, -646)",0.0,0.0,0.0,4
1,"[369, 658, 530, 904]","(105, 748)",0,0.0,"[997, 148, 1054, 298]","(228, 106)",0,0.0,"[1009, 88, 1024, 105]","(241, -658)",0.0,0.0,0.0,4
2,"[369, 658, 530, 904]","(105, 748)",0,0.0,"[996, 148, 1047, 298]","(226, 106)",0,0.0,"[1010, 87, 1025, 104]","(242, -665)",0.0,0.0,0.0,4
3,"[369, 656, 531, 903]","(106, 748)",0,0.0,"[995, 148, 1041, 298]","(225, 106)",0,0.0,"[1010, 87, 1025, 104]","(242, -665)",0.0,0.0,0.0,4
4,"[369, 654, 531, 901]","(105, 747)",0,0.0,"[993, 148, 1037, 298]","(224, 106)",0,0.0,"[1010, 86, 1025, 103]","(242, -671)",0.0,0.0,0.0,4
5,"[369, 652, 531, 898]","(105, 745)",0,0.0,"[992, 148, 1037, 298]","(224, 106)",0,0.0,"[1010, 85, 1025, 102]","(242, -677)",0.0,0.0,0.0,4
6,"[369, 652, 531, 895]","(105, 744)",0,0.0,"[991, 149, 1035, 298]","(223, 106)",0,0.0,"[1011, 84, 1026, 101]","(243, -684)",0.0,0.0,0.0,4
7,"[369, 652, 533, 893]","(105, 743)",0,0.0,"[990, 150, 1034, 298]","(223, 106)",0,0.0,"[1011, 84, 1026, 101]","(243, -684)",0.0,0.0,0.0,4
8,"[369, 653, 540, 893]","(105, 743)",0,0.0,"[991, 151, 1033, 298]","(223, 106)",0,0.0,"[1011, 83, 1026, 100]","(243, -690)",0.0,0.0,0.0,4
9,"[369, 653, 544, 893]","(106, 743)",0,0.0,"[990, 157, 1032, 298]","(222, 106)",0,0.0,"[1011, 83, 1026, 100]","(243, -690)",0.0,0.0,0.0,4
10,"[369, 653, 545, 893]","(106, 743)",0,0.0,"[991, 171, 1037, 297]","(224, 104)",0,0.0,"[1012, 82, 1027, 99]","(244, -697)",0.0,0.0,0.0,4
11,"[369, 651, 546, 892]","(106, 742)",0,0.0,"[990, 172, 1041, 297]","(224, 104)",0,0.0,"[1012, 81, 1027, 98]","(244, -703)",0.0,0.0,0.0,4
12,"[372, 647, 546, 888]","(106, 740)",0,0.0,"[988, 165, 1038, 297]","(223, 104)",0,0.0,"[1013, 82, 1027, 99]","(245, -697)",0.0,0.0,0.0,4
13,"[375, 642, 546, 885]","(106, 739)",0,0.0,"[988, 154, 1033, 296]","(222, 102)",0,0.0,"[988, 100, 1007, 122]","(227, -569)",0.0,0.0,0.0,4
14,"[383, 638, 546, 881]","(106, 737)",0,0.0,"[982, 135, 1026, 292]","(220, 92)",1,1.21,"[1009, 97, 1029, 117]","(242, 99)",2.79,39.53,-2.35,0
15,"[397, 635, 548, 877]","(108, 735)",0,0.0,"[983, 140, 1021, 290]","(219, 88)",0,0.0,"[946, 141, 965, 162]","(231, 137)",2.68,38.2,-2.74,4
16,"[412, 633, 555, 874]","(109, 733)",0,0.0,"[978, 148, 1019, 288]","(218, 83)",0,0.0,"[927, 160, 946, 181]","(221, 174)",2.56,36.95,-3.12,4
17,"[425, 633, 575, 873]","(113, 733)",0,0.0,"[982, 166, 1018, 286]","(218, 78)",0,0.0,"[909, 178, 928, 199]","(211, 210)",2.42,35.79,-3.51,4
18,"[438, 636, 588, 872]","(115, 732)",0,0.0,"[973, 175, 1017, 268]","(217, 33)",0,0.0,"[893, 193, 912, 215]","(202, 245)",2.26,34.69,-3.89,4
